,Company Name,Last Price,% Chg,52 wkHigh,52 wkLow,Market Cap(Rs. cr)
0,Minda Ind ,651.35,1.09,670.45,264.67,17970.64
1,Lumax Inds ,1532.05,-0.26,1820.0,1040.0,1432.12
2,FIEM Ind ,715.65,3.64,718.9,334.0,941.78
3,Jagan Litech ,52.8,0.67,60.0,13.7,36.41
0,Endurance Techn ,1530.55,-0.34,1616.0,830.0,21529.15
1,WABCO India ,6895.05,-0.02,7870.45,4770.15,13078.24
2,Suprajit Eng ,280.2,-1.29,318.45,134.0,3877.2
3,Minda Corp ,129.15,-0.69,142.05,63.5,3087.71
4,Banco Products ,191.3,3.02,192.35,64.25,1368.15
5,Lumax Auto Tech ,149.0,-0.1,174.0,72.05,1015.55
6,Alicon Castallo ,577.0,1.12,620.0,239.5,813.43
7,Munjal Auto Ind ,65.95,-1.27,72.8,44.25,659.5
8,Munjal Showa ,153.7,-7.69,176.45,94.8,614.72
9,PPAP Automotive ,234.4,-1.86,296.2,156.5,328.16
10,Commercial Eng ,33.8,-2.45,34.75,9.01,302.45
11,Jay Ushin ,491.1,-3.4,610.0,387.2,189.79
12,Remsons Ind ,218.25,0.11,274.7,62.6,124.69
13,Hind Hardy ,213.9,-1.38,233.0,49.55,32.05
14,GS Auto ,10.67,1.91,10.67,3.01,15.49
0,Federal-Mogul ,337.15,-0.84,470.0,247.85,1875.64
1,Samkrg Pistons ,196.8,-0.33,222.5,100.3,193.27
2,IP Rings ,112.1,4.28,112.1,37.0,142.1
3,Menon Pistons ,27.4,0.0,31.6,10.0,139.74
0,Bharat Seats ,81.35,-1.33,94.4,44.15,255.44
0,Jay BharatMarut ,221.65,-1.29,269.0,83.5,959.74
1,Autoline Ind ,44.8,-3.45,51.25,15.95,170.07
2,Omax Autos ,57.65,0.52,64.0,29.1,123.3
3,Rasandik Engg ,70.0,-4.04,100.0,35.55,41.83
0,Gabriel India ,120.7,0.63,135.0,80.8,1733.78
0,JBM Auto ,449.0,1.06,487.5,180.0,2123.72
1,Sharda Motor ,490.6,7.38,505.0,141.05,1458.63
2,Precision Camsh ,76.0,9.67,76.0,26.55,721.89
3,Rico Auto ,47.5,-1.96,53.15,26.4,642.6
